순번,설치주소,설치위치,설치년도,설치형상,관리부서
259,충청남도 천안시 서북구 쌍용동 1234번지,장미공원,,정자(1개),공원관리2팀
260,충청남도 천안시 서북구 쌍용동 2095번지,쌍용10공원,,정자(1개),공원관리2팀
261,충청남도 천안시 서북구 쌍용동 148번지,쌍용13공원,,파고라(1개),공원관리2팀
262,충청남도 천안시 서북구 쌍용동 1523번지,쌍용14공원,2023,파고라(2개),공원관리2팀
263,충청남도 천안시 서북구 쌍용동 1867번지,쌍용15공원,,파고라(1개),공원관리2팀
264,충청남도 천안시 서북구 쌍용동 1617번지,쌍용16공원,,파고라(3개),공원관리2팀
265,충청남도 천안시 서북구 쌍용동 2046-4번지,쌍용17공원,,파고라(1개),공원관리2팀
266,충청남도 천안시 서북구 쌍용동 1589번지,쌍용18공원,,파고라(1개),공원관리2팀
267,충청남도 천안시 서북구 쌍용동 656번지,쌍용19공원,,파고라(3개),공원관리2팀
268,충청남도 천안시 서북구 쌍용동 619번지,쌍용20공원,,파고라(1개),공원관리2팀
269,충청남도 천안시 서북구 쌍용동 1551번지,월봉공원,,정자(1개),공원관리2팀
270,충청남도 천안시 서북구 쌍용동 1280번지,솔내음공원,,파고라(2개),공원관리2팀
271,충청남도 천안시 서북구 쌍용동 1291번지,노을공원,,파고라(1개),공원관리2팀
272,충청남도 천안시 서북구 쌍용동 1924번지,희망공원,,파고라(1개),공원관리2팀
273,충청남도 천안시 서북구 쌍용동 1926번지,늘푸른공원,,파고라(1개),공원관리2팀
